,name,company,year,Price,kms_driven,fuel_type
0,Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014.0,325000.0,28000.0,Petrol
1,EcoSport Titanium 1.5L TDCi,Ford,2014.0,575000.0,36000.0,Diesel
2,Figo,Ford,2012.0,175000.0,41000.0,Diesel
3,Eon,Hyundai,2013.0,190000.0,25000.0,Petrol
4,EcoSport Ambiente 1.5L TDCi,Ford,2016.0,830000.0,24530.0,Diesel
5,Suzuki Alto K10 VXi AMT,Maruti,2015.0,250000.0,60000.0,Petrol
6,Fabia Classic 1.2 MPI,Skoda,2010.0,182000.0,60000.0,Petrol
7,Suzuki Stingray VXi,Maruti,2015.0,315000.0,30000.0,Petrol
8,Elite i20 Magna 1.2,Hyundai,2014.0,415000.0,32000.0,Petrol
9,Scorpio SLE BS IV,Mahindra,2015.0,320000.0,48660.0,Diesel
10,A8,Audi,2017.0,1000000.0,4000.0,Petrol
11,Q7,Audi,2014.0,500000.0,16934.0,Diesel
12,Scorpio S10,Mahindra,2016.0,350000.0,43000.0,Diesel
13,Suzuki Alto 800,Maruti,2014.0,160000.0,35550.0,Petrol
14,Scorpio S10,Mahindra,2016.0,310000.0,39522.0,Diesel
15,Suzuki Alto 800 Lx,Maruti,2017.0,190000.0,72000.0,Petrol
16,Suzuki Vitara Brezza ZDi,Maruti,2016.0,290000.0,15975.0,Diesel
17,Bolero DI,Mahindra,2017.0,180000.0,23452.0,Diesel
18,Suzuki Swift Dzire ZDi,Maruti,2014.0,385000.0,35522.0,Diesel
19,Scorpio S10 4WD,Mahindra,2015.0,250000.0,48508.0,Diesel
20,Suzuki Swift Vdi BSIII,Maruti,2017.0,180000.0,15487.0,Petrol
21,Suzuki Wagon R VXi BS III,Maruti,2013.0,105000.0,39000.0,Petrol
22,Suzuki Wagon R VXi Minor,Maruti,2013.0,105000.0,39000.0,Petrol
23,Innova 2.0 G 8 STR BS IV,Toyota,2012.0,650000.0,82000.0,Diesel
24,Lodgy 85 PS RXL,Renault,2018.0,689999.0,20000.0,Diesel
25,Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012.0,448000.0,68000.0,Diesel
26,Suzuki Baleno Delta 1.2,Maruti,2017.0,549000.0,32000.0,Diesel
27,Duster 110 PS RxZ Diesel Plus,Renault,2012.0,501000.0,38000.0,Diesel
28,Duster 85 PS RxE Diesel,Renault,2013.0,489999.0,27000.0,Diesel
29,City 1.5 S MT,Honda,2011.0,280000.0,33000.0,Petrol
30,Suzuki Dzire,Maruti,2013.0,349999.0,46000.0,Diesel
31,Amaze,Honda,2013.0,284999.0,46000.0,Diesel
